Company Name,Business Summary,Email
Electronics Consult,"specialises in small quantity proof of concept specification, design & prototyping. We have experience partnering with startups in the IoT & electronics space to quickly help develop projects & ideas",
Ei Electronics,,Info@eielectronics.com
SETU Electronics Carlow,,info@setu.ie
Smart Electronics Ltd.,specialises in providing turnkey solutions for customers requiring rapid prototyping and volume production,
KD Electronics,,Sales@kdelectronics.ie
Beta Electronics Ltd,specialises in providing assured quality of service and product,%22@beta-electronics.com
RTR Electronics Ltd,"specialises in providing high quality, flexible and cost-effective design, manufacturing, rework and repairs services",Info@rtrelec.com
TESTUPS Electronics Kft.,,info@testups.com
Coleman Electronics Ltd,"specialises in providing integrated security systems, CCTV, security & fire service contracts, access control, gate automation & barriers, fire & intruder alarm systems, elect",info@colemanelectronics.ie
FMG Electronics (Distributors) LTD,,sales@fmgelectronics.ie
